Income,Age,Gender,Education Level,Employment Status,Ethnicity,Awareness of Charities,Confidence in Charities,Positive Impact of Charities,Donation Amount,Donation Frequency
60397,44,Transgender,Undergraduate,Student,Black,10,6,2,8258,0
111387,30,Transgender,High School,Student,White,10,2,6,16616,4
21016,58,Non-binary,Graduate,Student,White,7,3,5,6371,11
75591,20,Prefer not to say,Graduate,Full-time,Latin-American,10,5,2,20590,11
43247,56,Male,Other,Unemployed,Other,5,9,3,14369,1
44300,23,Male,High School,Student,Asian,3,2,9,12910,4
102798,25,Non-binary,Other,Part-time,Black,7,10,7,7943,7
29268,44,Non-binary,Graduate,Full-time,Latin-American,2,8,7,12199,10
106807,26,Non-binary,High School,Student,South Asian,9,2,6,15728,8
32185,54,Genderqueer,High School,Student,Latin-American,10,5,8,23275,1
190171,50,Two-spirit,Other,Part-time,Latin-American,10,7,4,6738,11
159643,59,Male,Graduate,Unemployed,Asian,1,8,8,15913,2
58044,61,Genderqueer,High School,Unemployed,South Asian,6,1,4,2472,2
71214,41,Non-binary,Other,Unemployed,Latin-American,7,6,8,19123,0
134752,32,Male,Graduate,Student,Black,8,1,9,21785,7
68984,49,Genderqueer,Other,Student,Black,10,2,3,15679,5
60774,49,Two-spirit,Undergraduate,Student,White,9,1,3,1761,11
22568,41,Genderqueer,High School,Full-time,South Asian,2,5,2,10167,7
140151,58,Two-spirit,Undergraduate,Part-time,South Asian,10,10,10,10554,10
153767,29,Non-binary,Graduate,Student,White,2,9,3,17260,8
144375,56,Two-spirit,Undergraduate,Part-time,Latin-American,5,6,3,14277,4
199262,19,Male,Undergraduate,Part-time,South Asian,5,1,5,3812,11
156330,20,Non-binary,Graduate,Unemployed,Black,6,1,5,17844,2
59504,54,Male,Other,Full-time,Black,3,2,2,18117,4
184231,34,Transgender,Undergraduate,Student,Asian,8,9,10,1605,4
33986,19,Female,Other,Unemployed,South Asian,1,3,6,5622,4
81858,19,Two-spirit,Undergraduate,Unemployed,Latin-American,6,1,5,6767,2
149312,45,Female,Other,Student,White,4,5,6,11613,10
